Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
4111137,1,3,1,0,0,1,0,2,0,2,0,0,800,930,0,5688,3,160,226.68,1,90
4111137,1,3,1,0,0,1,0,2,0,3,9,0,1030,1031,0,5611,1,60,15.85,1,1
4111137,1,3,1,0,0,1,0,2,0,4,0,0,1130,1600,0,5688,1,59,15.85,1,310
4111137,1,3,1,0,0,1,0,2,0,5,9,0,1900,2700,1,9406,3,180,226.68,1,480
4111137,1,3,1,0,0,1,1,2,0,1,9,0,300,745,1,9406,,0,,1,285
4111137,1,3,1,0,0,1,1,2,0,2,0,0,800,1630,0,9402,0,15,1.57,1,510
4111137,1,3,1,0,0,1,1,2,0,3,3,0,1645,1710,0,9402,0,15,0,1,65
4111137,1,3,1,0,0,1,1,2,0,4,9,0,1720,2700,1,9406,0,10,1.57,1,620
4111172,1,3,2,0,1,1,0,1,0,1,9,0,300,1015,1,5233,,0,,1,435
4111172,1,3,2,0,1,1,0,1,0,2,5,0,1030,1630,0,5243,0,15,4.48,1,360
4111172,1,3,2,0,1,1,0,1,0,3,9,0,1645,2000,1,5233,0,15,4.48,1,235
4111172,1,3,2,0,1,1,0,1,0,4,5,0,2005,2010,0,5233,1,5,0,1,5
4111172,1,3,2,0,1,1,0,1,0,5,3,0,2015,2020,0,5246,1,5,3.71,1,5
4111172,1,3,2,0,1,1,0,1,0,6,9,0,2025,2700,1,5233,1,5,3.71,1,435
4111172,1,3,2,0,1,1,1,1,0,1,9,0,300,940,1,5233,,0,,1,400
4111172,1,3,2,0,1,1,1,1,0,2,0,0,1030,1720,0,3511,2,50,53.75,1,450
4111172,1,3,2,0,1,1,1,1,0,3,9,0,1805,1905,1,5233,2,45,53.75,1,60
4111172,1,3,2,0,1,1,1,1,0,4,9,0,1935,2240,0,5629,0,30,37.63,1,185
4111172,1,3,2,0,1,1,1,1,0,5,9,0,2310,2700,1,5233,0,30,37.63,1,270
4116556,1,3,3,0,0,2,0,2,0,1,9,0,300,945,1,5627,,0,,1,405
4116556,1,3,3,0,0,2,0,2,0,2,8,0,1100,1430,0,6301,0,75,102.1,1,210
4116556,1,3,3,0,0,2,0,2,0,3,8,0,1500,1915,0,6229,0,30,13.88,1,255
4116556,1,3,3,0,0,2,0,2,0,4,9,0,2015,2145,1,5627,0,60,101.05,1,90
4116556,1,3,3,0,0,2,0,2,0,5,8,0,2200,2201,0,5627,1,15,0,1,1
4116556,1,3,3,0,0,2,0,2,0,6,9,0,2215,2700,1,5627,1,14,0,1,325
4116556,1,3,3,0,0,2,1,2,0,1,9,0,300,945,1,5627,,0,,1,405
4116556,1,3,3,0,0,2,1,2,0,2,8,0,1100,2700,0,6301,0,75,102.1,1,960
