SrNo,Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,ET,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
1533,4510175,5,3,3,2,0,1,1,2,1,1,9,0,300,906,1,5627,NA,0,NA,1,366
1535,4510178,5,4,1,4,0,0,0,0,4,1,9,0,300,1120,1,5654,NA,0,NA,1,500
1540,4511132,5,3,1,1,2,1,0,2,1,1,9,0,300,2700,1,5627,NA,0,NA,1,1440
1543,4511176,5,0,0,1,0,1,1,0,1,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1544,4511191,5,0,2,4,0,1,0,0,4,1,9,0,300,930,1,5616,NA,0,NA,1,390
1546,4513120,5,4,3,4,0,1,0,0,4,1,9,0,300,900,1,5629,NA,0,NA,1,360
1562,4513186,5,2,2,0,0,2,0,0,0,1,9,0,300,1000,1,5627,NA,0,NA,1,420
1567,4513194,5,3,2,1,3,1,1,1,1,1,9,0,300,845,1,5644,NA,0,NA,1,345
1579,4515110,5,4,0,4,0,1,0,0,4,1,9,0,300,935,1,5652,NA,0,NA,1,395
1584,4515127,5,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1590,4515557,5,4,0,4,0,1,0,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1592,4516135,5,2,3,1,2,1,0,2,1,1,9,0,300,820,1,5629,NA,0,NA,1,320
1613,4518006,5,0,0,1,0,1,0,0,1,1,9,0,300,730,1,5625,NA,0,NA,1,270
1615,4518007,5,1,3,1,0,1,1,2,1,1,9,0,300,600,1,5616,NA,0,NA,1,180
1619,4518168,5,0,0,3,0,0,1,0,3,1,9,0,300,1315,1,5612,NA,0,NA,1,615
1624,4522013,5,0,0,2,0,0,1,0,2,1,9,0,300,1510,1,5622,NA,0,NA,1,730
1626,4522131,5,4,2,2,0,1,1,0,2,1,9,0,300,1730,1,5611,NA,0,NA,1,870
1634,4524130,5,4,0,4,0,1,0,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1643,4527150,5,0,0,2,0,1,1,0,2,1,9,0,300,1230,1,5644,NA,0,NA,1,570
1646,4528124,5,3,1,0,1,1,1,2,0,1,9,0,300,825,1,5655,NA,0,NA,1,325
1667,4531174,5,2,3,1,0,0,0,2,1,1,9,0,300,815,1,5653,NA,0,NA,1,315
1670,4531551,5,0,0,2,0,1,0,0,2,1,9,0,300,840,1,5654,NA,0,NA,1,340
1691,4533555,5,3,2,2,0,1,1,1,2,1,9,0,300,1015,1,5642,NA,0,NA,1,435
1710,4534177,5,0,0,1,0,1,1,0,1,1,9,0,300,1515,1,5611,NA,0,NA,1,735
1712,4535157,5,1,0,0,0,0,0,1,0,1,9,0,300,1045,1,5642,NA,0,NA,1,465
1730,4538113,5,0,0,4,0,0,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1733,4540164,5,3,3,1,1,2,0,2,1,1,9,0,300,800,1,5612,NA,0,NA,1,300
1742,4541153,5,3,3,1,0,1,1,1,1,1,9,0,300,2700,1,5644,NA,0,NA,1,1440
1746,4541156,5,4,3,4,0,2,0,0,4,1,9,0,300,2700,1,5644,NA,0,NA,1,1440
1768,4545109,5,4,1,2,0,1,0,0,2,1,9,0,300,1000,1,5628,NA,0,NA,1,420
1772,4545118,5,1,2,1,3,1,1,2,1,1,9,0,300,820,1,5612,NA,0,NA,1,320
1776,4545140,5,4,2,3,0,0,0,0,3,1,9,0,300,825,1,5628,NA,0,NA,1,325
1791,4547113,5,0,1,3,0,1,1,0,3,1,9,0,300,815,1,5631,NA,0,NA,1,315
1799,4550104,5,1,0,1,0,1,0,2,1,1,9,0,300,1800,1,5622,NA,0,NA,1,900
1801,4551156,5,1,3,1,0,1,0,2,1,1,9,0,300,815,1,5654,NA,0,NA,1,315
1803,4601177,6,2,1,1,0,1,0,2,1,1,9,0,300,1130,1,5621,NA,0,NA,1,510
1808,4602118,6,4,3,2,0,1,0,0,2,1,9,0,300,1730,1,5623,NA,0,NA,1,870
1812,4602170,6,2,3,1,2,1,0,2,1,1,9,0,300,800,1,5644,NA,0,NA,1,300
1832,4607103,6,1,1,1,0,1,0,2,1,1,9,0,300,745,1,5627,NA,0,NA,1,285
1836,4607123,6,0,0,3,0,0,1,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1837,4607176,6,2,3,0,1,1,0,2,0,1,9,0,300,1425,1,5629,NA,0,NA,1,685
1841,4607184,6,4,1,4,0,1,0,0,4,1,9,0,300,1202,1,5623,NA,0,NA,1,542
1847,4608187,6,3,3,0,0,1,1,2,0,1,9,0,300,1300,1,5629,NA,0,NA,1,600
1851,4609112,6,2,3,1,2,1,0,2,1,1,9,0,300,755,1,5629,NA,0,NA,1,295
1859,4611115,6,3,2,1,0,0,1,1,1,1,9,0,300,1030,1,5646,NA,0,NA,1,450
1863,4611124,6,4,3,1,0,2,1,0,1,1,9,0,300,630,1,5631,NA,0,NA,1,210
1868,4611155,6,2,1,1,2,1,0,2,1,1,9,0,300,830,1,5615,NA,0,NA,1,330
1876,4611180,6,3,3,1,2,2,0,2,1,1,9,0,300,945,1,5626,NA,0,NA,1,405
1883,4616007,6,2,1,1,1,1,0,2,1,1,9,0,300,1100,1,5621,NA,0,NA,1,480
1887,4618158,6,0,0,4,0,1,1,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1888,4619013,6,0,0,2,0,0,1,0,2,1,9,0,300,1100,1,5621,NA,0,NA,1,480
1893,4620142,6,0,0,4,0,0,1,0,4,1,9,0,300,1500,1,5611,NA,0,NA,1,720
1902,4624013,6,0,1,3,0,1,1,0,3,1,9,0,300,1100,1,5611,NA,0,NA,1,480
1912,4624155,6,4,1,4,0,1,0,0,4,1,9,0,300,900,1,5654,NA,0,NA,1,360
1916,4624164,6,4,1,3,0,1,0,0,3,1,9,0,300,1100,1,5632,NA,0,NA,1,480
1920,4625136,6,3,3,0,0,1,0,2,0,1,9,0,300,1200,1,5614,NA,0,NA,1,540
1924,4626013,6,2,2,1,2,1,0,2,1,1,9,0,300,930,1,5614,NA,0,NA,1,390
1930,4627010,6,3,3,1,2,2,0,2,1,1,9,0,300,1420,1,5627,NA,0,NA,1,680
1952,4633101,6,4,0,2,0,1,0,0,2,1,9,0,300,1900,1,5654,NA,0,NA,1,960
1960,4634152,6,1,0,0,0,1,0,2,0,1,9,0,300,1045,1,5632,NA,0,NA,1,465
1969,4639178,6,4,0,4,0,1,0,0,4,1,9,0,300,830,1,5615,NA,0,NA,1,330
1977,4640178,6,4,2,2,0,1,1,0,2,1,9,0,300,1419,1,5613,NA,0,NA,1,679
1983,4642138,6,3,3,1,2,2,1,1,1,1,9,0,300,815,1,5629,NA,0,NA,1,315
1989,4644169,6,0,1,4,0,0,1,0,4,1,9,0,300,830,1,5622,NA,0,NA,1,330
1991,4646118,6,0,1,3,0,0,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
1992,4646172,6,3,3,1,3,0,0,2,1,1,9,0,300,1015,1,5611,NA,0,NA,1,435
2018,4650169,6,4,1,3,0,1,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2020,4706164,7,4,1,2,0,1,0,0,2,1,9,0,300,1730,1,5653,NA,0,NA,1,870
2030,4710156,7,1,3,1,0,1,0,2,1,1,9,0,300,1130,1,5641,NA,0,NA,1,510
2033,4711159,7,0,2,4,0,0,0,0,4,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2041,4717141,7,0,0,4,0,0,0,0,4,1,9,0,300,1050,1,5616,NA,0,NA,1,470
2048,4721167,7,0,1,4,0,1,1,0,4,1,9,0,300,1400,1,5625,NA,0,NA,1,660
2054,4721173,7,3,2,2,0,1,0,2,2,1,9,0,300,1415,1,5623,NA,0,NA,1,675
2060,4722179,7,0,0,3,0,1,0,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2061,4723145,7,4,1,4,0,1,0,0,4,1,9,0,300,1730,1,5651,NA,0,NA,1,870
2065,4723163,7,4,2,3,0,1,0,0,3,1,9,0,300,1230,1,5654,NA,0,NA,1,570
2069,4723552,7,4,1,2,0,1,1,0,2,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2071,4724175,7,3,1,2,0,2,0,2,2,1,9,0,300,900,1,5627,NA,0,NA,1,360
2075,4725551,7,3,2,2,0,2,0,2,2,1,9,0,300,930,1,5611,NA,0,NA,1,390
2085,4727102,7,0,0,3,0,0,1,0,3,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2086,4730011,7,0,2,2,0,1,1,0,2,1,9,0,300,1245,1,5622,NA,0,NA,1,585
2092,4732101,7,4,2,3,0,1,0,0,3,1,9,0,300,1045,1,5643,NA,0,NA,1,465
2101,4734553,7,3,2,2,0,2,1,2,2,1,9,0,300,1035,1,5612,NA,0,NA,1,455
2108,4734557,7,3,3,1,0,1,0,2,1,1,9,0,300,2700,1,5611,NA,0,NA,1,1440
2113,4735135,7,3,1,1,2,1,0,2,1,1,9,0,300,1230,1,5629,NA,0,NA,1,570
2117,4736125,7,2,3,1,1,2,0,2,1,1,9,0,300,1130,1,5627,NA,0,NA,1,510
2123,4739134,7,1,2,1,0,2,0,2,1,1,9,0,300,930,1,5627,NA,0,NA,1,390
2126,4739135,7,4,0,2,0,0,0,0,2,1,9,0,300,1430,1,5632,NA,0,NA,1,690
2130,4740010,7,2,0,1,0,1,0,2,1,1,9,0,300,1430,1,5628,NA,0,NA,1,690
