AgentID,Hhid,Day,Comp,SEC,Age,Child,Ncars,Gend,Wstat,AgeP,Actnr,Atype,With,BT,StartTime,ET,EndTIme,Home,PPC,Mode,TravTime,TravDist,Eindhoven,Dur
41491011,4149101,1,3,3,1,1,2,1,2,1,1,9,0,300,180,815,504,1,6333,,0,,1,315
41491560,4149156,1,3,1,1,0,1,0,2,1,1,9,0,300,180,830,528,1,5682,,0,,1,330
41491561,4149156,1,3,1,1,0,1,1,1,1,1,9,0,300,180,745,492,1,5682,,0,,1,285
41491750,4149175,1,2,3,2,0,2,0,2,2,1,9,0,300,180,640,424,1,5482,,0,,1,220
41491751,4149175,1,2,3,2,0,2,1,0,1,1,9,0,300,180,1000,600,1,5482,,0,,1,420
41501111,4150111,1,4,3,3,0,1,1,0,3,1,9,0,300,180,900,540,1,5624,,0,,1,360
41501110,4150111,1,4,3,3,0,1,0,0,3,1,9,0,300,180,900,540,1,5624,,0,,1,360
41521781,4152178,1,3,2,0,1,1,1,1,0,1,9,0,300,180,1030,648,1,5491,,0,,1,450
41521780,4152178,1,3,2,0,1,1,0,2,0,1,9,0,300,180,530,348,1,5491,,0,,1,150
41531810,4153181,1,3,2,1,0,1,0,2,1,1,9,0,300,180,1400,840,1,5223,,0,,1,660
41531811,4153181,1,3,2,1,0,1,1,1,1,1,9,0,300,180,630,408,1,5223,,0,,1,210
42021300,4202130,2,2,3,1,2,1,0,2,1,1,9,0,300,180,820,512,1,5663,,0,,1,320
42021301,4202130,2,2,3,1,2,1,1,0,1,1,9,0,300,180,900,540,1,5663,,0,,1,360
42021310,4202131,2,3,2,1,0,1,0,2,1,1,9,0,300,180,724,458,1,5481,,0,,1,264
42021311,4202131,2,3,2,1,0,1,1,1,1,1,9,0,300,180,1332,831,1,5481,,0,,1,632
42031320,4203132,2,3,3,0,0,2,0,2,0,1,9,0,300,180,530,348,1,5631,,0,,1,150
42031321,4203132,2,3,3,0,0,2,1,2,0,1,9,0,300,180,715,444,1,5631,,0,,1,255
42040070,4204007,2,2,3,1,3,0,0,2,1,1,9,0,300,180,845,552,1,1015,,0,,1,345
42040071,4204007,2,2,3,1,3,0,1,0,1,1,9,0,300,180,1005,608,1,1015,,0,,1,425
42041061,4204106,2,0,3,2,0,0,1,0,2,1,9,0,300,180,900,540,1,5612,,0,,1,360
42041640,4204164,2,3,2,0,1,2,0,2,0,1,9,0,300,180,830,528,1,6127,,0,,1,330
42051541,4205154,2,2,2,2,0,1,1,0,2,1,9,0,300,180,2700,1620,1,5753,,0,,1,1440
42051540,4205154,2,2,2,2,0,1,0,2,1,1,9,0,300,180,730,468,1,5753,,0,,1,270
42061460,4206146,2,4,0,3,0,1,0,0,3,1,9,0,300,180,1100,660,1,5062,,0,,1,480
42061461,4206146,2,4,0,3,0,1,1,0,3,1,9,0,300,180,2700,1620,1,5062,,0,,1,1440
42071210,4207121,2,3,3,0,0,2,0,2,0,1,9,0,300,180,915,564,1,5672,,0,,1,375
42071211,4207121,2,3,3,0,0,2,1,2,0,1,9,0,300,180,830,528,1,5672,,0,,1,330
42071300,4207130,2,3,3,1,0,2,0,2,1,1,9,0,300,180,600,360,1,5641,,0,,1,180
42071301,4207130,2,3,3,1,0,2,1,2,0,1,9,0,300,180,800,480,1,5641,,0,,1,300
42081020,4208102,2,4,2,3,0,1,0,0,3,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
42081021,4208102,2,4,2,3,0,1,1,0,3,1,9,0,300,180,2700,1620,1,5611,,0,,1,1440
42081661,4208166,2,0,0,3,0,1,1,0,3,1,9,0,300,180,910,556,1,5644,,0,,1,370
